name,gppd_idnr,country,year,co2_emissions_tonne,capacity_mw,primary_fuel,generation_gwh,commissioning_year,latitude,longitude,unit_count
Irsching,WRI1005691,Germany,2017,50523.96,1822.0,Fossil Gas,133.48700000000002,2001.4923161361141,48.766999999999996,11.582,3
Irsching,WRI1005691,Germany,2018,9697.5,1822.0,Fossil Gas,24.035000000000007,2001.4923161361141,48.766999999999996,11.582,3
Isar 2,WRI1005849,Germany,2015,0.0,1410.0,Nuclear,10394.236000000003,1988.0,48.629,12.33,1
Isar 2,WRI1005849,Germany,2016,0.0,1410.0,Nuclear,11336.048000000003,1988.0,48.629,12.33,1
Isar 2,WRI1005849,Germany,2017,0.0,1410.0,Nuclear,10901.416000000003,1988.0,48.629,12.33,1
Isar 2,WRI1005849,Germany,2018,0.0,1410.0,Nuclear,11477.203000000003,1988.0,48.629,12.33,1
Kiel,WRI1005692,Germany,2015,1447860.0,323.0,Fossil Hard coal,1372.5000000000002,2008.0,54.339,10.177,1
Kiel,WRI1005692,Germany,2016,1183370.0,323.0,Fossil Hard coal,1121.7730000000004,2008.0,54.339,10.177,1
Kiel,WRI1005692,Germany,2017,1105760.0,323.0,Fossil Hard coal,1048.2020000000002,2008.0,54.339,10.177,1
Kiel,WRI1005692,Germany,2018,1218350.0,323.0,Fossil Hard coal,1154.9320000000002,2008.0,54.339,10.177,1
KW Kühtai,WRI1005910,Germany,2015,0.0,289.0,Hydro Pumped Storage,126.86900000000003,,47.208,11.005999999999998,2
KW Kühtai,WRI1005910,Germany,2016,0.0,289.0,Hydro Pumped Storage,164.27800000000005,,47.208,11.005999999999998,2
KW Kühtai,WRI1005910,Germany,2017,0.0,289.0,Hydro Pumped Storage,429.1980000000001,,47.208,11.005999999999998,2
KW Kühtai,WRI1005910,Germany,2018,0.0,289.0,Hydro Pumped Storage,400.5540000000001,,47.208,11.005999999999998,2
Heizkraftwerk Linden (GKL),WRI1005640,Germany,2015,56323.700000000004,230.0,Fossil Gas,134.10400000000004,2013.0,52.42,9.648,1
Heizkraftwerk Linden (GKL),,Germany,2015,56323.700000000004,230.0,Fossil Gas,134.10400000000004,2013.0,52.42,9.648,1
KW Mehrum (KWM),,Germany,2015,2555390.0,690.0,Fossil Hard coal,2862.8130000000006,1979.0,52.316,10.093,1
KW Mehrum (KWM),,Germany,2016,1775500.0,690.0,Fossil Hard coal,1989.0980000000004,1979.0,52.316,10.093,1
KW Mehrum (KWM),,Germany,2017,1955000.0,690.0,Fossil Hard coal,2190.1920000000005,1979.0,52.316,10.093,1
KW Mehrum (KWM),,Germany,2018,1824090.0,690.0,Fossil Hard coal,2043.5290000000005,1979.0,52.316,10.093,1
Nord 2,WRI1005982,Germany,2015,538094.0,333.0,Fossil Hard coal,510.0860000000001,1991.0,48.18899999999999,11.595999999999998,1
Nord 2,WRI1005982,Germany,2016,1592610.0,333.0,Fossil Hard coal,1509.7100000000003,1991.0,48.18899999999999,11.595999999999998,1
Nord 2,WRI1005982,Germany,2017,1434410.0,333.0,Fossil Hard coal,1359.7460000000003,1991.0,48.18899999999999,11.595999999999998,1
Nord 2,WRI1005982,Germany,2018,1154680.0,333.0,Fossil Hard coal,1094.5740000000003,1991.0,48.18899999999999,11.595999999999998,1
Staudinger,WRI1006056,Germany,2015,1417895.0,1132.0,Fossil Gas,2531.9580000000005,1983.7579505300353,50.091,8.954,2
Staudinger,WRI1006056,Germany,2016,1568613.0,1132.0,Fossil Gas,2801.0970000000007,1983.7579505300353,50.091,8.954,2
Staudinger,WRI1006056,Germany,2017,1225696.7,1132.0,Fossil Gas,2188.7510000000007,1983.7579505300353,50.091,8.954,2
Staudinger,WRI1006056,Germany,2018,1029695.0,1132.0,Fossil Gas,1838.7420000000004,1983.7579505300353,50.091,8.954,2
Sued GuD1,WRI1006064,Germany,2015,9894.54,298.0,Fossil Gas,17.798000000000005,1980.0,48.114,11.556,2
Sued GuD1,WRI1006064,Germany,2016,107509.90000000001,298.0,Fossil Gas,193.78100000000003,1980.0,48.114,11.556,2
Sued GuD1,WRI1006064,Germany,2017,124489.40000000001,298.0,Fossil Gas,225.67100000000005,1980.0,48.114,11.556,2
Sued GuD1,WRI1006064,Germany,2018,115891.5,298.0,Fossil Gas,209.46800000000005,1980.0,48.114,11.556,2
Sued GuD2,WRI1006063,Germany,2015,225112.4,400.0,Fossil Gas,391.1470000000001,1980.0,48.114,11.556,3
Sued GuD2,WRI1006063,Germany,2016,704025.0,400.0,Fossil Gas,1216.9990000000003,1980.0,48.114,11.556,3
Sued GuD2,WRI1006063,Germany,2017,942872.0,400.0,Fossil Gas,1641.4110000000003,1980.0,48.114,11.556,3
Sued GuD2,WRI1006063,Germany,2018,868772.0,400.0,Fossil Gas,1511.2410000000004,1980.0,48.114,11.556,3
Waldeck II,WRI1006127,Germany,2015,0.0,480.0,Hydro Pumped Storage,779.0580000000002,1974.0,51.167,9.047,2
Waldeck II,WRI1006127,Germany,2016,0.0,480.0,Hydro Pumped Storage,766.9570000000002,1974.0,51.167,9.047,2
Waldeck II,WRI1006127,Germany,2017,0.0,480.0,Hydro Pumped Storage,738.9150000000002,1974.0,51.167,9.047,2
Waldeck II,WRI1006127,Germany,2018,0.0,480.0,Hydro Pumped Storage,318.3980000000001,1974.0,51.167,9.047,2
HKW West,WRI1005818,Germany,2015,1426334.0,277.0,Fossil Hard coal,1106.2570000000003,,52.428999999999995,10.767999999999999,2
HKW West,WRI1005818,Germany,2016,2174620.0,277.0,Fossil Hard coal,1686.6260000000004,,52.428999999999995,10.767999999999999,2
HKW West,WRI1005818,Germany,2017,2094710.0,277.0,Fossil Hard coal,1624.6500000000003,,52.428999999999995,10.767999999999999,2
HKW West,WRI1005818,Germany,2018,2030636.0,277.0,Fossil Hard coal,1574.9540000000004,,52.428999999999995,10.767999999999999,2
Wilhelmshaven,WRI1006143,Germany,2015,2947490.0,757.0,Fossil Hard coal,3217.419000000001,1976.0,53.565,8.147,1
Wilhelmshaven,WRI1006143,Germany,2016,2724780.0,757.0,Fossil Hard coal,2974.3090000000007,1976.0,53.565,8.147,1
Wilhelmshaven,WRI1006143,Germany,2017,1327610.0,757.0,Fossil Hard coal,1449.1890000000003,1976.0,53.565,8.147,1
Wilhelmshaven,WRI1006143,Germany,2018,1613160.0,757.0,Fossil Hard coal,1760.8890000000004,1976.0,53.565,8.147,1
Kraftwerk Wilhelmshaven,WRI1006143,Germany,2015,510172.0,726.0,Fossil Hard coal,586.2020000000001,2015.0,53.566,8.146,1
Kraftwerk Wilhelmshaven,WRI1006143,Germany,2016,1169840.0,726.0,Fossil Hard coal,1344.1760000000004,2015.0,53.566,8.146,1
Kraftwerk Wilhelmshaven,WRI1006143,Germany,2017,2370600.0,726.0,Fossil Hard coal,2723.8850000000007,2015.0,53.566,8.146,1
Kraftwerk Wilhelmshaven,WRI1006143,Germany,2018,2056950.0,726.0,Fossil Hard coal,2363.4940000000006,2015.0,53.566,8.146,1
Kraftwerk Zolling,WRI1006154,Germany,2015,1729890.0,472.0,Fossil Hard coal,2037.3890000000006,1986.0,48.456,11.800999999999998,1
Kraftwerk Zolling,WRI1006154,Germany,2016,1606850.0,472.0,Fossil Hard coal,1892.4720000000004,1986.0,48.456,11.800999999999998,1
Kraftwerk Zolling,WRI1006154,Germany,2017,1490400.0,472.0,Fossil Hard coal,1755.3310000000004,1986.0,48.456,11.800999999999998,1
Kraftwerk Zolling,WRI1006154,Germany,2018,1199550.0,472.0,Fossil Hard coal,1412.7760000000003,1986.0,48.456,11.800999999999998,1
Vorarlberger Illwerke AG,WRI1019153,Germany,2015,0.0,1856.0,Hydro Pumped Storage,629.6590000000001,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019159,Germany,2015,0.0,1856.0,Hydro Pumped Storage,629.6590000000001,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019153,Germany,2016,0.0,1856.0,Hydro Pumped Storage,655.3420000000002,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019159,Germany,2016,0.0,1856.0,Hydro Pumped Storage,655.3420000000002,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019153,Germany,2017,0.0,1856.0,Hydro Pumped Storage,797.0680000000002,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019159,Germany,2017,0.0,1856.0,Hydro Pumped Storage,797.0680000000002,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019153,Germany,2018,0.0,1856.0,Hydro Pumped Storage,776.3790000000001,2008.0,46.975,10.043,4
Vorarlberger Illwerke AG,WRI1019159,Germany,2018,0.0,1856.0,Hydro Pumped Storage,776.3790000000001,2008.0,46.975,10.043,4
HKW Altbach/Deizisau,WRI1005737,Germany,2015,0.0,595.0,Fossil Hard coal,0.0,1997.0,48.718,9.373,1
HKW Altbach/Deizisau,WRI1005737,Germany,2016,1493900.0,595.0,Fossil Hard coal,1501.9670000000003,1997.0,48.718,9.373,1
HKW Altbach/Deizisau,WRI1005737,Germany,2017,1194470.0,595.0,Fossil Hard coal,1200.9210000000003,1997.0,48.718,9.373,1
HKW Altbach/Deizisau,WRI1005737,Germany,2018,1117270.0,595.0,Fossil Hard coal,1123.3060000000003,1997.0,48.718,9.373,1
Rheinhafen-Dampfkraftwerk Karlsruhe,WRI1006026,Germany,2015,3777020.0,1347.0,Fossil Hard coal,4549.661000000001,2003.1276911655532,49.015,8.304,2
Rheinhafen-Dampfkraftwerk Karlsruhe,WRI1006026,Germany,2016,2908130.0,1347.0,Fossil Hard coal,3430.658000000001,2003.1276911655532,49.015,8.304,2
Rheinhafen-Dampfkraftwerk Karlsruhe,WRI1006026,Germany,2017,3983450.0,1347.0,Fossil Hard coal,4837.772000000001,2003.1276911655532,49.015,8.304,2
Rheinhafen-Dampfkraftwerk Karlsruhe,WRI1006026,Germany,2018,3826560.0,1347.0,Fossil Hard coal,4637.663000000001,2003.1276911655532,49.015,8.304,2
